"Reference","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Diet","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","Mean_m_male","Mean_m_female","sd_m_male","sd_m_female","N_m_male","N_m_female","Mean_i_male","Mean_i_female","sd_i_male","sd_i_female","N_i_male","N_i_female","Long_i","Lat_i","Island_km2","Dist_near_mainland","Allometry","Phylogeny","Data_source_type","Paired"
"Pigot et al. 2020","India","Sri Lanka","Birds","Accipitriformes","Accipitridae","Accipiter trivirgatus","Accipiter trivirgatus","Accipiter trivirgatus","VertFishScav","Female","Wing Length",239.75,198.25,23.472,7.632,4,4,NA,239.75,NA,23.47161406,NA,4,NA,198.25,NA,7.632168761,NA,4,80.714,7.74,65610,90,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Accipitriformes","Accipitridae","Accipiter virgatus","Accipiter virgatus","Accipiter virgatus","","Female","Tarsus Length",57.258,52.46,3.228,3.816,4,4,NA,57.2575,NA,3.227923739,NA,4,NA,52.46,NA,3.815625768,NA,4,80.714,7.74,65610,90,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Accipitriformes","Accipitridae","Accipiter virgatus","Accipiter virgatus","Accipiter virgatus","VertFishScav","Female","Wing Length",192.25,163,12.738,17.814,4,4,NA,192.25,NA,12.7377392,NA,4,NA,163,NA,17.81385229,NA,4,80.714,7.74,65610,90,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Renaud 2020","Turkey","Cyprus","Mammals","Rodentia","Muridae","Acomys cahirinus","Acomys cahirinus","Acomys cahirinus","","Both","Length",89.0625,112.8846154,10.75476937,7.752647954,16,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.254,35.025,9250,70,"Rodentia: log10(BM,g) = -4.1004 +2.821*log10(length, mm) (r2 = 0.9352)","Conspecific","Island rule","Yes"
"Pigot et al. 2020","China","Hainan","Birds","Passeriformes","Sturnidae","Acridotheres cristatellus","Acridotheres cristatellus","Acridotheres cristatellus","","Male","Tarsus Length",38.908,37.673,0.917,2.48,4,3,38.9075,NA,0.916637878,NA,4,NA,37.67333333,NA,2.479542969,NA,3,NA,109.842,19.229,32900,17,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","China","Hainan","Birds","Passeriformes","Sturnidae","Acridotheres cristatellus","Acridotheres cristatellus","Acridotheres cristatellus","Omnivore","Male","Wing Length",134,135,3.266,8.185,4,3,134,NA,3.265986324,NA,4,NA,135,NA,8.185352772,NA,3,NA,109.842,19.229,32900,17,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Passeriformes","Sturnidae","Acridotheres tristis","Acridotheres tristis","Acridotheres tristis","","Male","Tarsus Length",38.973,39.015,0.668,1.287,4,4,38.9725,NA,0.668200319,NA,4,NA,39.015,NA,1.286973193,NA,4,NA,80.714,7.74,65610,90,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Passeriformes","Sturnidae","Acridotheres tristis","Acridotheres tristis","Acridotheres tristis","Omnivore","Male","Wing Length",141.75,138.75,3.403,1.708,4,4,141.75,NA,3.403429643,NA,4,NA,138.75,NA,1.707825128,NA,4,NA,80.714,7.74,65610,90,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Higgins, Peter and Cowling 2006, Counsilman 1974","Vic, Australia","North Island (NZ)","Birds","Passeriformes","Sturnidae","Acridotheres tristis","Acridotheres tristis tristis","Acridotheres tristis tristis","","Male","Weight",126,130.5,13.41,8.2,5,32,126,NA,13.41,NA,5,NA,130.5,NA,8.2,NA,32,NA,175.77,-38.53,113729,1650,"Weight","Conspecific","No island rule","No"
"Pigot et al. 2020","India","Sri Lanka","Birds","Passeriformes","Pycnonotidae","Acritillas indica","Acritillas indica","Acritillas indica","","Female","Tarsus Length",17.975,17.91,1.073,0.73,4,4,NA,17.975,NA,1.072644707,NA,4,NA,17.91,NA,0.730342385,NA,4,80.714,7.74,65610,90,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Passeriformes","Pycnonotidae","Acritillas indica","Acritillas indica","Acritillas indica",NA,"Female","Wing Length",87.5,83.75,2.517,1.5,4,4,NA,87.5,NA,2.516611478,NA,4,NA,83.75,NA,1.5,NA,4,80.714,7.74,65610,90,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Passeriformes","Acrocephalidae","Acrocephalus stentoreus","Acrocephalus stentoreus","Acrocephalus stentoreus","","Male","Tarsus Length",27.353,27.343,1.719,1.108,4,4,27.3525,NA,1.71894105,NA,4,NA,27.3425,NA,1.107651419,NA,4,NA,80.714,7.74,65610,90,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Passeriformes","Acrocephalidae","Acrocephalus stentoreus","Acrocephalus stentoreus","Acrocephalus stentoreus","Invertebrate","Male","Wing Length",84.5,78.75,5.323,1.258,4,4,84.5,NA,5.322906474,NA,4,NA,78.75,NA,1.258305739,NA,4,NA,80.714,7.74,65610,90,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Kwet et al. 2009","Brazil","Ilha de Santa Catarina","Amphibians","Anura","Leptodactylidae","Adenomera engelsi","Adenomera engelsi","Adenomera engelsi","","Male","SVL",21.55,21.79,0.354,0.633,2,10,21.55,NA,0.353553391,NA,2,NA,21.79,NA,0.633245608,NA,10,NA,-48.9177,-27.5141,424.4,0.5,"10^-4.324×SVL^3.189; Santini et al. 2017","Conspecific","No island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Passeriformes","Aegithinidae","Aegithina tiphia","Aegithina tiphia","Aegithina tiphia","","Male","Tarsus Length",20.963,18.89,1.272,0.403,4,4,20.9625,NA,1.272382935,NA,4,NA,18.89,NA,0.402823369,NA,4,NA,80.714,7.74,65610,90,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Passeriformes","Aegithinidae","Aegithina tiphia","Aegithina tiphia","Aegithina tiphia","Invertebrate","Male","Wing Length",63.5,61.5,1.732,1,4,4,63.5,NA,1.732050808,NA,4,NA,61.5,NA,1,NA,4,NA,80.714,7.74,65610,90,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Higgins 1999","Australia","Tasmania","Birds","Caprimulgiformes","Aegothelidae","Aegotheles cristatus","Aegotheles cristatus cristatus","Aegotheles cristatus tasmanicus","","Male","Weight",44,44,4.81,10.6,22,17,44,NA,4.81,NA,22,NA,44,NA,10.6,NA,17,NA,146.75,-42,68401,200,"Weight","Conspecific","No island rule","Yes"
"Kitchener et al 1993","Java","Bali","Mammals","Chiroptera","Pteropodidae","Aethalops alecto","Aethalops alecto ocypete","Aethalops alecto boeadii","","Unsexed","Length",59.52,60.55,2.08,2.99,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.155,-8.274,5620,2.5,"Chiroptera (n= 350 datapoints, Novak 1999).  log10(BM,g) = - 3.1442 + 2.4085*log10(length, mm) (R² = 0.8801). ","Conspecific","No island rule","Yes"
"Kitchener et al 1993","Java","Lombok","Mammals","Chiroptera","Pteropodidae","Aethalops alecto","Aethalops alecto ocypete","Aethalops alecto boeadii","","Unsexed","Length",59.52,56.88,2.08,3.5,5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.417,-8.375,4725,133,"Chiroptera (n= 350 datapoints, Novak 1999).  log10(BM,g) = - 3.1442 + 2.4085*log10(length, mm) (R² = 0.8801). ","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Sierra Leone","Sao Tome","Birds","Psittaciformes","Psittacidae","Agapornis pullarius","Agapornis pullarius","Agapornis pullarius","","Male","Tarsus Length",12.198,11.16,1.611,0.396,4,2,12.1975,NA,1.611052968,NA,4,NA,11.16,NA,0.395979797,NA,2,NA,6.616,0.234,854,238,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Sierra Leone","Sao Tome","Birds","Psittaciformes","Psittacidae","Agapornis pullarius","Agapornis pullarius","Agapornis pullarius","PlantSeed","Male","Wing Length",93.75,87.5,2.63,3.536,4,2,93.75,NA,2.62995564,NA,4,NA,87.5,NA,3.535533906,NA,2,NA,6.616,0.234,854,238,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Pigot et al. 2020","France","Great Britain","Birds","Passeriformes","Alaudidae","Alauda arvensis","Alauda arvensis","Alauda arvensis","PlantSeed","Male","Tarsus Length",23.703,25.043,1.115,0.573,4,4,23.7025,NA,1.114760811,NA,4,NA,25.0425,NA,0.573025596,NA,4,NA,-1.6,53.186,209330.9999,32.5,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","France","Great Britain","Birds","Passeriformes","Alaudidae","Alauda arvensis","Alauda arvensis","Alauda arvensis","PlantSeed","Male","Wing Length",102.25,106.75,5.123,4.031,4,4,102.25,NA,5.123475383,NA,4,NA,106.75,NA,4.031128874,NA,4,NA,-1.6,53.186,209330.9999,32.5,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Passeriformes","Alaudidae","Alauda gulgula","Alauda gulgula","Alauda gulgula","Omnivore","Male","Tarsus Length",22.873,23.845,1.345,0.807,4,4,22.8725,NA,1.345297365,NA,4,NA,23.845,NA,0.80723809,NA,4,NA,80.714,7.74,65610,90,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","India","Sri Lanka","Birds","Passeriformes","Alaudidae","Alauda gulgula","Alauda gulgula","Alauda gulgula","Omnivore","Male","Wing Length",89,85.5,1.633,5.802,4,4,89,NA,1.632993162,NA,4,NA,85.5,NA,5.802298395,NA,4,NA,80.714,7.74,65610,90,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Higgins 1999","Australia","Tasmania","Birds","Coraciiformes","Alcedinidae","Alcedo azurea","Alcedo azurea azurea","Alcedo azurea diemenensis","","Male","Weight",33.4,43.8,4.14,8.67,21,4,33.4,NA,4.14,NA,21,NA,43.8,NA,8.67,NA,4,NA,146.75,-42,68401,200,"Weight","Conspecific","No island rule","Yes"
"Pigot et al. 2020","France","Mallorca","Birds","Galliformes","Phasianidae","Alectoris rufa","Alectoris rufa","Alectoris rufa","PlantSeed","Male","Tarsus Length",39.148,37.32,1.477,0.311,4,2,39.1475,NA,1.476648796,NA,4,NA,37.32,NA,0.311126984,NA,2,NA,2.9951,39.7104,3640,174,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","France","Mallorca","Birds","Galliformes","Phasianidae","Alectoris rufa","Alectoris rufa","Alectoris rufa","PlantSeed","Male","Wing Length",154,149.5,6.976,3.536,4,2,154,NA,6.976149845,NA,4,NA,149.5,NA,3.535533906,NA,2,NA,2.9951,39.7104,3640,174,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Bangma et al. 2017a_b","Florida","Merritt","Reptiles","Crocodilia","Alligatoridae","Alligator mississippiensis","Alligator mississippiensis","Alligator mississippiensis","","Both","SVL",1265.9,1364.471,247.64,187.81,30,13,1425.6,1106.2,306.18,170.016,15,15,1485.642857,1243.3,206.7017945,41.633,10,3,-80.6833,28.3132,122.2,1.3,"LOG10(Weight, g)= LOG10(SVL, mm)*3.012-4.502, Feldman et al 2015","Conspecific","No island rule","Yes"
"Grant 1965","Nayarit (Mexico)","Tres Marias","Birds","Apodiformes","Trochilidae","Amazilia rutila","Amazilia rutila","Amazilia rutila","","Both","Wing Length",57.36,69.81,1.97,2.16,59,45,58.74,55.98,1.967,1.983,46,13,70.58,69.04,2.286,1.952,27,18,-106.552,21.609,145.282,87,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Venezuela","Blanquilla","Birds","Psittaciformes","Psittacidae","Amazona barbadensis","Amazona barbadensis","Amazona barbadensis","PlantSeed","Male","Tarsus Length",17.863,18.08,0.522,1.715,4,4,17.8625,NA,0.52181574,NA,4,NA,18.08,NA,1.714895526,NA,4,NA,-64.5986,11.8533,64.53,131.8,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Venezuela","Blanquilla","Birds","Psittaciformes","Psittacidae","Amazona barbadensis","Amazona barbadensis","Amazona barbadensis","PlantSeed","Male","Wing Length",218.5,218.75,6.245,4.425,4,4,218.5,NA,6.244997998,NA,4,NA,218.75,NA,4.425306016,NA,4,NA,-64.5986,11.8533,64.53,131.8,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Grant 1965","Nayarit (Mexico)","Tres Marias","Birds","Psittaciformes","Psittacidae","Amazona ochrocephala","Amazona ochrocephala","Amazona ochrocephala","","Both","Wing Length",213.85,230,4.357,6.281,7,44,215.2,212.5,4.539,3.536,5,2,233.9,226.1,6.985,4.76,28,16,-106.552,21.609,145.282,87,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Morocco","Boa Vista","Birds","Passeriformes","Alaudidae","Ammomanes cinctura","Ammomanes cinctura","Ammomanes cinctura","PlantSeed","Female","Tarsus Length",20.443,20.693,1.132,1.237,4,4,NA,20.4425,NA,1.132412616,NA,4,NA,20.6925,NA,1.237453703,NA,4,-22.8,16.1,634.1,570,"log10(mass,g) = -1.77769 + 2.48163*log10(tarsus, mm), R2 = 0.69","Conspecific","No island rule","Yes"
"Pigot et al. 2020","Morocco","Boa Vista","Birds","Passeriformes","Alaudidae","Ammomanes cinctura","Ammomanes cinctura","Ammomanes cinctura","PlantSeed","Female","Wing Length",88.75,89.5,2.63,0.577,4,4,NA,88.75,NA,2.62995564,NA,4,NA,89.5,NA,0.577350269,NA,4,-22.8,16.1,634.1,570,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Madeira 2018, King et al 2011","Congo","Sao Tome","Birds","Passeriformes","Nectariniidae","Anabathmis reichenbachii","Anabathmis newtonii","Anabathmis newtonii","","Both","Wing Length",56.2,51.265,2.8,1.938,6,49,NA,NA,NA,NA,NA,NA,53.715303,48.814594,2.2371887,1.1546353,32,17,6.616,0.234,854,238,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","No"
"Madeira 2018, King et al 2011","Congo","Sao Tome","Birds","Passeriformes","Nectariniidae","Anabathmis reichenbachii","Anabathmis newtonii","Anabathmis newtonii","","Both","Weight",8.8,6.593,1.72,0.477,6,49,NA,NA,NA,NA,NA,NA,7.215817,5.971131,0.4072105,0.5888349,32,17,6.616,0.234,854,238,"Weight","Conspecific","No island rule","No"
"Balham 1952","Australia","North Island (NZ)","Birds","Anseriformes","Anatidae","Anas platyrhynchos","Anas platyrhynchos ","Anas platyrhynchos ","","Both","Weight",1657.5,1201,492.184,145,49,327,1735,1580,499,481,30,19,1279,1123,145,145,171,156,175.77,-38.53,113729,1650,"Weight","Conspecific","No island rule","No"
"Balham 1952, Braithwaite and Miller 1975","SE Australia","North Island (NZ)","Birds","Anseriformes","Anatidae","Anas superciliosa","Anas superciliosa","Anas superciliosa","","Both","Weight",1064,1035,149.164,106.563,200,232,1113,1015,110,180,100,100,1089,981,105,108,112,120,175.77,-38.53,113729,1650,"Weight","Conspecific","No island rule","No"
"Leet et al. 2012, MVZ","California","Southeast Farallon","Amphibians","Caudata","Plethodontidae","Aneides lugubris","Aneides lugubris","Aneides lugubris","","Both","SVL",60.9,68.67,68.482,14.496,111,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-123.0025,37.6985,0.48,32.4,"10^-4.706×SVL^2.968 (Plethodontidae); Santini et al. 2017","Conspecific","No island rule","No"
"Hernández-Salinas et al. 2014","Jalisco, Mexico","San Pancho/Isla La Colorada","Reptiles","Squamata","Dactyloidae","Anolis nebulosus","Anolis nebulosus","Anolis nebulosus","","Both","SVL",38.35,47.6,1.267,2.38,151,149,38.3,38.4,0.386291341,2.333066651,109,42,51.8,43.4,2.581472448,2.08,85,64,-105.093,19.539,0.022,0.98,"LOG10(Weight, g)= LOG10(SVL, mm)*2.942-4.574, Feldman et al 2015","Conspecific","Island rule","Yes"
"Senczuk et al 2014","Mexico, Chimela Bay","San Agustin (Don Panchito)","Reptiles","Squamata","Dactyloidae","Anolis nebulosus","Anolis nebulosus","Anolis nebulosus","","Both","SVL",39.05,52.79,2.643,2.628,38,18,40.96,37.14,2.99,2.13,21,17,52.79,46.18,1.82,3.24,9,9,-105.088363,19.5348,0.033,0.47,"LOG10(Weight, g)= LOG10(SVL, mm)*2.942-4.574, Feldman et al 2015","Conspecific","Island rule","Yes"
"Siliceo-Cantero et al. 2016","Mexico","San Agustin (Don Panchito)","Reptiles","Squamata","Dactyloidae","Anolis nebulosus","Anolis nebulosus","Anolis nebulosus","","Both","SVL",34.2,42.9,3.98,6.84,78,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-105.088363,19.5348,0.033,0.47,"LOG10(Weight, g)= LOG10(SVL, mm)*2.942-4.574, Feldman et al 2015","Conspecific","Island rule","Yes"
"Motokawa and Lin 2002","Vietnam","Taiwan","Mammals","Eulipotyphla","Soricidae","Anourosorex squamipes","Anourosorex squamipes","Anourosorex squamipes","","Unsexed","Length",93.08,78.33,3.66,10.16,12,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.66,23.776,34507,142.7,"All: log10(BM,g) = -4.1505 +2.841*log10(length, mm) (r2 = 0.9769)","Conspecific","No island rule","Yes"
"Motokawa and Lin 2002","Sichuan","Taiwan","Mammals","Eulipotyphla","Soricidae","Anourosorex squamipes","Anourosorex squamipes","Anourosorex squamipes","","Unsexed","Length",93.97,78.33,7.97,10.16,12,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.66,23.776,34507,142.7,"All: log10(BM,g) = -4.1505 +2.841*log10(length, mm) (r2 = 0.9769)","Conspecific","No island rule","Yes"
"Motokawa and Lin 2002","Yunnan","Taiwan","Mammals","Eulipotyphla","Soricidae","Anourosorex squamipes","Anourosorex squamipes","Anourosorex squamipes","","Unsexed","Length",94.4,78.33,3.51,10.16,13,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.66,23.776,34507,142.7,"All: log10(BM,g) = -4.1505 +2.841*log10(length, mm) (r2 = 0.9769)","Conspecific","No island rule","Yes"
"Higgins, Peter and Steele 2001","s WA & s SA, Australia","Kangaroo","Birds","Passeriformes","Meliphagidae","Anthochaera carunculata","Anthochaera carunculata woodwardi","Anthochaera carunculata clelandi","","Male","Wing Length",152,154.1,4.88,4.88,19,9,152,NA,4.88,NA,19,NA,154.1,NA,4.88,NA,9,NA,137.207,-35.819,4405,13.5,"log10(mass,g) = -3.399 + 2.508*log10(wing, mm), R2=0.89","Conspecific","No island rule","Yes"
"Higgins, Peter and Steele 2001","se Qld, Australia","Kangaroo","Birds","Passeriformes","Meliphagidae","Anthochaera chrysoptera","Anthochaera chrysoptera chrysoptera","Anthochaera chrysoptera halmaturina","","Male","Weight",77,77.6,6.56,2.97,26,5,77,NA,6.56,NA,26,NA,77.6,NA,2.97,NA,5,NA,137.207,-35.819,4405,13.5,"Weight","Conspecific","No island rule","Yes"
"Higgins, Peter and Steele 2001","se Qld, Australia","Tasmania","Birds","Passeriformes","Meliphagidae","Anthochaera chrysoptera","Anthochaera chrysoptera chrysoptera","Anthochaera chrysoptera tasmanica","","Both","Weight",68.35,72.25,8.139,5.924,40,11,77,59.7,6.56,10.53,26,14,85.3,59.2,6.87,3.3,7,4,146.5,-42.1,63558.9893,240,"Weight","Conspecific","No island rule","Yes"
"Robertson et al. 1983, Bartle and Sagar 1987","Orongorongo Valley, NI, NZ","Tiritiri Matangi","Birds","Passeriformes","Meliphagidae","Anthornis melanura","Anthornis melanura melanura","Anthornis melanura melanura","","Both","Weight",27.15,28.55,2.341,2.983,296,51,30.7,23.6,2.42,2.16,202,94,31.7,25.4,2.83,3.21,31,20,174.89,-36.6,2.2,4,"Weight","Conspecific","No island rule","No"
